Potential duplicates: 362
Abbey Knockmoy (abbey, 120 reviews) <-> Abbey Knockmoy Galway (abbey, 25 reviews)
Abbeyknockmoy (abbey, 100 reviews) <-> Abbeyknockmoy Abbey (abbey, 52 reviews)
Abbeyknockmoy Abbey (abbey, 52 reviews) <-> Knockmoy Abbey (abbey, 40 reviews)
Aberdour Castle (castle, 1340 reviews) <-> Aberdour Castle Great Hall (castle, 780 reviews)
Aberedw Castle (castle, 16 reviews) <-> Aberedw Castle Rocks (castle, 80 reviews)
Abergavenny Castle (castle, 680 reviews) <-> Abergavenny Castle Museum (castle, 800 reviews)
Aboyne Castle (castle, 190 reviews) <-> Boyne Castle (castle, 100 reviews)
Aclare Castle (tower house, 7 reviews) <-> Clare Castle (castle, 280 reviews)
Acton Burnell Castle (fortified house, 670 reviews) <-> Acton Burnell Castle (Shropshire) (castle, 800 reviews)
Adare Desmond Castle (castle, 340 reviews) <-> Desmond Castle (tower house, 1800 reviews)
Aghaboe Abbey (abbey, 65 reviews) <-> Aghaboe Abbey Laois (abbey, 20 reviews)
Aghadoe (abbey, 420 reviews) <-> Aghadoe Castle (castle, 28 reviews)
Aghadoe (abbey, 420 reviews) <-> Aghadoe Cathedral Kerry (abbey, 40 reviews)
Aghadoe (abbey, 420 reviews) <-> Aghadoe Church and Round Tower (abbey, 120 reviews)
Aghadoe Castle (castle, 28 reviews) <-> Doe Castle (castle, 1400 reviews)
Alton Castle (castle, 240 reviews) <-> Dalton Castle (castle, 180 reviews)
Alton Castle (castle, 240 reviews) <-> Halton Castle (castle, 520 reviews)
Alton Castle (castle, 240 reviews) <-> Halton Castle (Cheshire) (castle, 340 reviews)
Alton Castle (castle, 240 reviews) <-> Halton Castle Lancashire (castle, 150 reviews)
Annaghkeen Castle (tower house, 25 reviews) <-> Annaghkeen Castle Galway (tower house, 18 reviews)
Antrim Castle Gardens (castle, 2200 reviews) <-> Trim Castle (castle, 5200 reviews)
Any Castle (castle, 8 reviews) <-> Dunsany Castle (castle, 560 reviews)
Ardtermon Castle (tower house, 18 reviews) <-> Termon Castle (tower house, 12 reviews)
Ardtully Castle (tower house, 30 reviews) <-> Tully Castle (fortified house, 780 reviews)
Aros Castle (castle, 80 reviews) <-> Aros Castle (Mull) (castle, 70 reviews)
Ashford Castle (castle, 8500 reviews) <-> Ford Castle (castle, 280 reviews)
Auckland Castle (palace, 1800 reviews) <-> Auckland Castle Chapel (castle, 1800 reviews)
Ballingarry Castle (tower house, 35 reviews) <-> Ballingarry Castle (Lim) (tower house, 15 reviews)
Ballingarry Castle (tower house, 35 reviews) <-> Ballingarry Castle (Limerick) (tower house, 30 reviews)
Ballingarry Castle (Lim) (tower house, 15 reviews) <-> Ballingarry Castle (Limerick) (tower house, 30 reviews)
Ballintober Castle (castle, 340 reviews) <-> Ballintober Castle Mayo (castle, 70 reviews)
Ballintober Castle (castle, 340 reviews) <-> Ballintober Castle Roscommon (castle, 70 reviews)
Ballintober Castle Mayo (castle, 70 reviews) <-> Ballintober Castle Roscommon (castle, 70 reviews)
Ballycarberry Castle (castle, 550 reviews) <-> Ballycarberry Castle Ruin (castle, 25 reviews)
Ballyclogh Castle (tower house, 65 reviews) <-> Ballyclogh Castle Cork (tower house, 15 reviews)
Ballygrennan Castle (tower house, 10 reviews) <-> Grennan Castle (castle, 30 reviews)
Ballylee Castle (tower house, 88 reviews) <-> Ballylee Castle (Thoor Ballylee) (tower house, 70 reviews)
Ballylee Castle (Thoor Ballylee) (tower house, 70 reviews) <-> Thoor Ballylee (tower house, 1600 reviews)
Ballyloughan Castle (castle, 65 reviews) <-> Ballyloughan Castle (Carlow) (castle, 85 reviews)
Ballyloughan Castle (castle, 65 reviews) <-> Ballyloughan Castle Carlow (castle, 15 reviews)
Ballyloughan Castle (Carlow) (castle, 85 reviews) <-> Ballyloughan Castle Carlow (castle, 15 reviews)
Ballynahinch Castle (castle, 3800 reviews) <-> Ballynahinch Castle Tipperary (tower house, 20 reviews)
Ballynahinch Castle (castle, 3800 reviews) <-> Inch Castle (castle, 25 reviews)
Ballynahinch Castle Tipperary (tower house, 20 reviews) <-> Inch Castle (castle, 25 reviews)
Bamburgh Castle (castle, 15000 reviews) <-> Burgh Castle (castle, 780 reviews)
Banagher Castle (castle, 12 reviews) <-> Coolbanagher Castle (tower house, 25 reviews)
Banagher Castle (castle, 12 reviews) <-> Coolbanagher Castle (Laois) (tower house, 7 reviews)
Barnard Castle (castle, 1670 reviews) <-> Barnard Castle Bowes Museum (castle, 5000 reviews)
Battle Abbey (abbey, 3800 reviews) <-> Battle Abbey (Sussex) (abbey, 6000 reviews)
Beddgelert Dinas Emrys Walk (hillfort, 700 reviews) <-> Dinas Emrys (hillfort, 68 reviews)
Bedford Castle Mound (castle, 90 reviews) <-> Ford Castle (castle, 280 reviews)
Belfast Castle (castle, 4200 reviews) <-> Fast Castle (castle, 450 reviews)
Benton Castle (castle, 40 reviews) <-> Benton Castle Exterior (castle, 120 reviews)
Berry Pomeroy Castle (castle, 1890 reviews) <-> Berry Pomeroy Castle (Devon) (castle, 2500 reviews)
Birr Castle (castle, 3200 reviews) <-> Birr Castle Gardens (castle, 165 reviews)
Bishop's Castle (castle, 35 reviews) <-> Bishop's Stortford Castle (castle, 80 reviews)
Bishop's Castle (castle, 35 reviews) <-> Bishop's Waltham Palace (palace, 560 reviews)
Bishop's Stortford Castle (castle, 80 reviews) <-> Bishop's Waltham Palace (palace, 560 reviews)
Bishop's Stortford Castle (castle, 80 reviews) <-> Ford Castle (castle, 280 reviews)
Black Castle (Wicklow Main) (castle, 30 reviews) <-> Black Castle (Wicklow) (castle, 250 reviews)
Bleddfa Castle (motte, 7 reviews) <-> Bleddfa Castle Mound (castle, 40 reviews)
Bolton Abbey (abbey, 7000 reviews) <-> Bolton Abbey (Tipperary) (abbey, 12 reviews)
Bolton Castle (castle, 2120 reviews) <-> Bolton Castle (Wensleydale) (castle, 3000 reviews)
Bolton Castle (castle, 2120 reviews) <-> Kimbolton Castle (castle, 680 reviews)
Borve Castle (castle, 80 reviews) <-> Borve Castle (Benbecula) (tower house, 40 reviews)
Borve Castle (castle, 80 reviews) <-> Borve Castle (Harris) (tower house, 22 reviews)
Borve Castle (Benbecula) (tower house, 40 reviews) <-> Borve Castle (Harris) (tower house, 22 reviews)
Brampton Castle (Birdoswald) (fort, 1200 reviews) <-> Brampton Castle (Bryan de Jay) (castle, 35 reviews)
Brinklow Castle (castle, 150 reviews) <-> Brinklow Castle Motte (castle, 90 reviews)
Brough Castle (castle, 890 reviews) <-> Brough Castle (Westmorland) (castle, 800 reviews)
Brough Castle (castle, 890 reviews) <-> Brough Castle Clifford Tower (castle, 280 reviews)
Brough Castle (castle, 890 reviews) <-> Conisbrough Castle (castle, 1890 reviews)
Brough Castle (Westmorland) (castle, 800 reviews) <-> Brough Castle Clifford Tower (castle, 280 reviews)
Brougham Castle (castle, 1560 reviews) <-> Brougham Castle (Eden) (castle, 1800 reviews)
Broughton Castle (castle, 1100 reviews) <-> Broughton Castle (Banbury) (castle, 1200 reviews)
Builth Castle (castle, 100 reviews) <-> Builth Castle Mound (castle, 90 reviews)
Burgh Castle (castle, 780 reviews) <-> Dunstanburgh Castle (castle, 4500 reviews)
